"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"5578","Czech Republic",2022-08-28,137,4035841,10788,40791,65,376864.4,1007.4,3809,6.1,128,126
"5730","Democratic Republic of the Congo",2022-08-28,137,92634,91,1400,7,1034.3,1,15.6,0.1,125,125
"5796","Denmark",2022-08-28,137,3315957,7109,6942,47,572506.4,1227.4,1198.5,8.1,128,127
"5888","Diamond Princess Cruise Ship",2022-08-28,137,712,0,13,0,NA,NA,NA,NA,132,126
"6104","Djibouti",2022-08-28,137,15690,0,189,0,15880.6,0,191.3,0,124,118
"6153","Dominica",2022-08-28,137,14852,0,68,0,206277.8,0,944.4,0,85,48
"6384","Dominican Republic",2022-08-28,137,637573,1157,4384,0,58773.3,106.7,404.1,0,127,126
"6469","Ecuador",2022-08-28,137,993858,5275,35830,18,56331.6,299,2030.8,1,127,127
"6603","Egypt",2022-08-28,137,515645,0,24791,5,5038.8,0,242.3,0,128,127
"6689","El Salvador",2022-08-28,137,190818,0,4221,2,29420,0,650.8,0.3,124,121
"6901","Equatorial Guinea",2022-08-28,137,16945,28,183,0,12077.7,20,130.4,0,122,118
"6985","Eritrea",2022-08-28,137,10154,5,103,0,2863.5,1.4,29,0,114,73
"7146","Estonia",2022-08-28,137,596763,1344,2647,5,449708.4,1012.8,1994.7,3.8,128,125
"7217","Eswatini",2022-08-28,137,73358,14,1422,3,63239.7,12.1,1225.9,2.6,121,113
"7369","Ethiopia",2022-08-28,137,493144,176,7571,0,4289.6,1.5,65.9,0,123,117
"7486","Fiji",2022-08-28,137,68116,88,877,2,76022.3,98.2,978.8,2.2,69,61
"7578","Finland",2022-08-28,137,1258798,8241,5577,110,227178.8,1487.3,1006.5,19.9,128,127
"7771","France",2022-08-28,137,34662834,127579,154897,356,531035.8,1954.5,2373,5.5,130,129
"7854","Gabon",2022-08-28,137,48635,0,306,0,21848.6,0,137.5,0,123,119
"7979","Georgia",2022-08-28,137,1735682,12595,16889,6,435117.1,3157.4,4233.9,1.5,125,120
"8151","Germany",2022-08-28,137,32041350,233122,147104,600,382428,2782.4,1755.8,7.2,130,128
"8314","Ghana",2022-08-28,137,168565,108,1459,0,5424.8,3.5,47,0,126,122
"8444","Greece",2022-08-28,137,4712025,57288,32335,307,452079.5,5496.3,3102.3,29.5,128,127
"8534","Grenada",2022-08-28,137,19289,128,236,2,170699.1,1132.7,2088.5,17.7,88,50
"8715","Guatemala",2022-08-28,137,1097563,12236,19451,106,61261.6,683,1085.7,5.9,124,122
"8768","Guinea",2022-08-28,137,37470,0,447,0,2853.1,0,34,0,125,120
"8954","Guinea-Bissau",2022-08-28,137,8482,0,174,0,4310,0,88.4,0,121,116
"9072","Guyana",2022-08-28,137,70974,165,1278,0,90183,209.7,1623.9,0,120,120
"9244","Haiti",2022-08-28,137,33295,592,841,3,2919.8,51.9,73.8,0.3,120,120
"9292","Holy See (Vatican City)",2022-08-28,137,29,0,0,0,29000,0,0,0,0,0
"9439","Honduras",2022-08-28,137,452305,1912,10972,7,45664.3,193,1107.7,0.7,126,125
"9539","Hong Kong",2022-08-28,137,1513972,55734,9664,59,201943.7,7434.2,1289,7.9,129,110
"9716","Hungary",2022-08-28,137,2036390,14742,47191,108,210806.4,1526.1,4885.2,11.2,127,126
"9860","Iceland",2022-08-28,137,204268,211,179,0,599026.4,618.8,524.9,0,128,122
"9952","India",2022-08-28,137,44415723,66763,527799,431,32185.2,48.4,382.5,0.3,128,126
"10152","Indonesia",2022-08-28,137,6346304,30747,157500,123,23202,112.4,575.8,0.4,128,127
"10270","Iran (Islamic Republic of)",2022-08-28,137,7523662,17048,143728,341,89574.9,203,1711.2,4.1,130,130
"10360","Iraq",2022-08-28,137,2456555,2342,25343,5,61073.4,58.2,630.1,0.1,128,128
"10525","Ireland",2022-08-28,137,1655338,1762,7820,38,335224.4,356.8,1583.6,7.7,128,126
"10607","Israel",2022-08-28,137,4630021,6978,11590,65,534891.5,806.1,1339,7.5,128,126
"10739","Italy",2022-08-28,137,21806509,156041,175347,625,360664.7,2580.8,2900.1,10.3,131,130
"10896","Jamaica",2022-08-28,137,149596,772,3250,13,50522.1,260.7,1097.6,4.4,123,116
"11038","Japan",2022-08-28,137,18531986,1343721,39047,1988,146525.7,10624.3,308.7,15.7,131,128
"11174","Jordan",2022-08-28,137,1735495,3946,14110,5,170096.5,386.7,1382.9,0.5,127,112
"11249","Kazakhstan",2022-08-28,137,1476926,4284,19040,8,78656.1,228.2,1014,0.4,126,124
"11405","Kenya",2022-08-28,137,338161,114,5674,1,6288.9,2.1,105.5,0,125,123
"11533","Kiribati",2022-08-28,137,3430,0,13,0,28823.5,0,109.2,0,30,27
"11602","Kosovo",2022-08-28,137,271152,1467,3194,3,150640,815,1774.4,1.7,125,123
"11778","Kuwait",2022-08-28,137,657042,0,2563,0,153838,0,600.1,0,128,122
"11842","Kyrgyzstan",2022-08-28,137,205537,339,2991,0,31504.8,52,458.5,0,125,121
"12004","Lao People's Democratic Republic",2022-08-28,137,213824,615,757,0,29387.6,84.5,104,0,70,53
"12147","Latvia",2022-08-28,137,895513,5857,5937,17,474821.3,3105.5,3147.9,9,127,122
"12342","Lebanon",2022-08-28,137,1208304,4198,10621,19,177040.9,615.1,1556.2,2.8,128,126
"12450","Lesotho",2022-08-28,137,34206,0,704,0,15969.2,0,328.7,0,111,109
"12575","Liberia",2022-08-28,137,7732,76,294,0,1528.7,15,58.1,0,122,122
"12600","Libya",2022-08-28,137,506751,236,6436,0,73752.1,34.3,936.7,0,117,115
"12799","Liechtenstein",2022-08-28,137,19086,101,86,0,502263.2,2657.9,2263.2,0,105,92
"12854","Lithuania",2022-08-28,137,1215461,6671,9276,22,446532.3,2450.8,3407.8,8.1,126,124
